id,company,country,countryregion,product_categories,brandnames,link_details
58,A Holt & Sons Ltd,United Kingdom (GB),NULL,"Fabrics, Accessories, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/58
43827,A K HOME DESIGN,India (IN),Tamil Nadu,"Accessories, Babywear, Fabrics, Home Textiles, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43827
44666,A P D exports,India (IN),Karnataka,"Leasure wear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44666
32755,A. Berger GmbH,Germany (DE),NULL,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/32755
30488,A ZETA FILATI SRL,Italy (IT),NULL,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/30488
32398,A. E. Rudolph A/S,Denmark (DK),NULL,"Accessories, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/32398
44035,A G Fabrics,India (IN),Delhi,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44035
44746,A BLUES CLOTHING,India (IN),Tamil Nadu,"Accessories, Babywear, Ladieswear, Children's wear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44746
45526,A D JEYAVEERAPANDIA NADAR & BROS,India (IN),Tamil Nadu,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45526
28678,"A Textil de Serzedelo, S.A.",Portugal (PT),NULL,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/28678
27584,A-dam Underwear B.V.,Netherlands (NL),NULL,"Garments, Underwear, Socks",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/27584
26772,A-One Tex Process,India (IN),Tamil Nadu,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/26772
31961,A-Tex Home Collection,India (IN),Tamil Nadu,"Accessories, Fabrics, Home Textiles, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/31961
44818,A. Essak & Sons,Pakistan (PK),NULL,Home Textiles,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44818
41566,"A. F. Vilas Boas - Malhas & Bordados, Lda",Portugal (PT),NULL,"Babywear, Garments, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/41566
44808,"A Quinta & Filhos, S.A.",Portugal (PT),NULL,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44808
6846,A S International,India (IN),Uttar Pradesh,"Babywear, Children's wear, Fabrics, Accessories, Home Textiles, Toys",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/6846
34025,"A. F. Têxteis, Lda.",Portugal (PT),NULL,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/34025
28841,"A. Ferreira - Sociedade Têxteis, Lda",Portugal (PT),NULL,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/28841
30502,A. Ferreira & Filhos S.A.,Portugal (PT),NULL,"Babywear, Garments, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/30502
44175,A.C.TEXTILE MILLS,India (IN),Tamil Nadu,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44175
31142,Ajanta Universal Fabrics Limited,India (IN),Maharashtra,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/31142
42255,AKBAS TEKSTIL OTOMOTIV SANAYI VE TICARET ANONIM SIRKETI CERKEZKOY SUBESI,Türkiye (TR),NULL,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/42255
28692,Alpha knitting (Pvt) Ltd,Pakistan (PK),NULL,"Children's wear, Fabrics, Ladieswear, Men's wear, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/28692
41633,ALPHA ORGANICS CLOTHING INDIA,India (IN),Tamil Nadu,"Accessories, Babywear, Ladieswear, Children's wear, Fabrics, Men's wear, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/41633
46934,ALPHAA PRINTS,India (IN),Tamil Nadu,"Babywear, Ladieswear, Children's wear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/46934
1762,Alpin Corap San. ve Tic. A.S.,Türkiye (TR),NULL,"Garments, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/1762
45537,ALPS Apparels Ltd.,Bangladesh (BD),Dhaka,"Babywear, Children's wear, Ladieswear, Men's wear, Accessories",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45537
45926,Also Tarım San. Tic. Ltd. Şti.,Türkiye (TR),NULL,Raw Fibres,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45926
40048,ALTAIR TEKSTIL GIYIM VE SAN. DIS. TIC. LTD. STI.,Türkiye (TR),NULL,Ladieswear,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40048
45695,ALTIN KECI TEKSTIL BOYAMA TICARET LIMITED SIRKETI,Türkiye (TR),NULL,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45695
41946,ALTINTRANSFER DIJITAL BASKI VE KUMASCILIK ITHALAT IHRACAT SANAYI TICARET LIMITED SIRKETI,Türkiye (TR),NULL,"Ladieswear, Children's wear, Fabrics, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/41946
45821,Amal Kiran Jana,India (IN),West Bengal,Garments,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45821
20915,Aman Knittings Ltd,Bangladesh (BD),Dhaka,"Babywear, Garments, Ladieswear, Men's wear, Accessories, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/20915
2274,A. J. Textile Mills Limited,Pakistan (PK),NULL,"Raw Fibres, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/2274
42592,A. G. Dresses Limited,Bangladesh (BD),Dhaka,"Accessories, Babywear, Ladieswear, Children's wear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/42592
32019,"A. J. Gonçalves, S.A.",Portugal (PT),NULL,Accessories,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/32019
43427,A.B EXPORTS PVT LTD,Pakistan (PK),NULL,"Ladieswear, Men's wear, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43427
46099,A.S.F Fabrics Mills Limited.,Bangladesh (BD),Mymensingh,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/46099
40168,AIFAZ COTTON PROCESSORS,India (IN),Maharashtra,"Raw Fibres, Product category (other), Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40168
40781,Aims Hosiery Limited,Pakistan (PK),NULL,"Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40781
44853,AISHWARYA TEXTILE PRINTERS,India (IN),Tamil Nadu,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44853
31244,AKAY CORAP SANAYI VE TICARET LIMITED SIRKETI,Türkiye (TR),NULL,Children's wear,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/31244
1241,Akcakaya Group Tekstil A.S.,Türkiye (TR),NULL,"Babywear, Garments, Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/1241
44782,Alpha Omega Egypt Clothing manufacturers S.A.E,Egypt (EG),NULL,Men's wear,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44782
32776,Alpine Knits India Pvt Ltd,India (IN),Tamil Nadu,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/32776
36799,"Alroubaia Fourtex Textiles Co, S.A.E",Egypt (EG),NULL,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/36799
30596,Alteks Konfeksiyon Iml. Ihr. Ve Tic. A.S.,Türkiye (TR),NULL,Garments,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/30596
37166,Alterosac,France (FR),NULL,"Accessories, Hygiene products, Garments, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/37166
111,ALTRAQUALITA’ soc. coop. r. l.,Italy (IT),NULL,"Babywear, Children's wear, Garments, Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/111
31191,Aman Export International,India (IN),Rajasthan,Garments,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/31191
27097,Amanat Shah Fabrics Ltd,Bangladesh (BD),Dhaka,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/27097
42945,A.F. CLOTHING,Pakistan (PK),NULL,"Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/42945
35085,AJ Enterprises,India (IN),Uttar Pradesh,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/35085
46049,Ajit Fabrics,India (IN),Tamil Nadu,"Accessories, Fabrics",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/46049
37371,Alpha Textile Free Zone,Egypt (EG),NULL,"Babywear, Children's wear, Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/37371
29385,Alsar Orme Tekstil San. Ve Tic. Ltd. Sti.,Türkiye (TR),NULL,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/29385
29750,Alt&Shirazi Gbr,Germany (DE),NULL,Ladieswear,Mademoiselle YéYé,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/29750
30343,ALTERA TEKSTIL VE AMBALAJ SANAYI TICARET LIMITED SIRKETI,Türkiye (TR),NULL,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/30343
2319,Altinbasak Tekstil San ve Tic.A.s.,Türkiye (TR),NULL,"Fabrics, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/2319
30843,ALTOTEKS TEKSTIL GIYIM BOYA APRE SANAYI VE TICARET ANONIM SIRKETI CORLU SUBESI,Türkiye (TR),NULL,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/30843
41717,Aman Cotton Fibrous Ltd.,Bangladesh (BD),Dhaka,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/41717
2467,Aman Spinning Mills Ltd.,Bangladesh (BD),Dhaka,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/2467
38747,A. Kudrešovo Firma,Lithuania (LT),NULL,"Garments, Ladieswear, Underwear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/38747
44788,"A. Sampaio & Filhos - Têxteis, SA",Portugal (PT),NULL,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44788
45746,A.a Cotton Mills Ltd,Pakistan (PK),NULL,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45746
44563,"A.Fiúza & Irmão, Lda",Portugal (PT),NULL,Socks,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44563
28455,A.G International,India (IN),Tamil Nadu,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/28455
41394,A.G.C. SRL,Italy (IT),NULL,Product category (other),NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/41394
44262,Ahmed Socks Industries,Bangladesh (BD),Dhaka,Garments,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44262
45407,Ahmet Karadag,Türkiye (TR),NULL,"Babywear, Ladieswear, Children's wear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45407
43767,A.G. LAMBRUGO & FIGLI SRL,Italy (IT),NULL,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43767
38247,Ahsiar Fashions Ltd,Bangladesh (BD),Dhaka,"Babywear, Ladieswear, Men's wear, Accessories",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/38247
43488,Amar International,India (IN),Maharashtra,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43488
47053,Amar International.,India (IN),Maharashtra,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/47053
34177,AMARINE COUTURE,France (FR)<br>,NULL,Garments,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/34177
41086,Amarjothi spinning Mills Ltd,India (IN),Tamil Nadu,Product category (other),NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/41086
34531,Aiayu ApS,Denmark (DK),NULL,"Ladieswear, Men's wear, Accessories, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/34531
44608,AJVICK EXPORTS PRIVATE LIMITED,India (IN),Maharashtra,"Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44608
43577,AKASH COTEX,India (IN),Gujarat,Raw Fibres,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43577
1742,Akasya Tarim Urunleri Gida San. ve Tic A.S.,Türkiye (TR),NULL,"Raw Fibres, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/1742
44670,ALTUTEX INTERNATIONAL,Tunisia (TN),NULL,Garments,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44670
46019,ALUMO AG,Switzerland (CH),NULL,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/46019
38454,ALV GROUP S.R.L.,Italy (IT),NULL,"Accessories, Fabrics, Product category (other)",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/38454
32941,Alva Linen AB,Sweden (SE),NULL,Home Textiles,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/32941
35523,Aman Tex Ltd.,Bangladesh (BD),Dhaka,"Ladieswear, Children's wear, Fabrics, Men's wear, Technical Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/35523
44719,AMASS KNIT PRINTERS,India (IN),Tamil Nadu,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44719
15880,AMATEX SRL,Romania (RO),NULL,"Babywear, Children's wear, Garments, Accessories",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/15880
26463,Amazing Export Corporation,India (IN),Tamil Nadu,"Babywear, Children's wear, Fabrics, Ladieswear, Men's wear, Accessories",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/26463
46055,Amazing Fashions Ltd.,Bangladesh (BD),Dhaka,"Babywear, Ladieswear, Children's wear, Fabrics, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/46055
45077,American Safety Power Tool Limited,Pakistan (PK),NULL,"Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45077
45868,Amko Exports,India (IN),Uttar Pradesh,"Accessories, Fabrics, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45868
31836,AMMAYAPPER TEXTILES PRIVATE LIMITED,India (IN),Tamil Nadu,"Babywear, Children's wear, Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/31836
28777,Amna Industries (Pvt) Limited,Pakistan (PK),NULL,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/28777
45411,Ample Colours,India (IN),Tamil Nadu,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45411
43255,AMRIT CRAFTS PVT LTD,India (IN),West Bengal,"Ladieswear, Fabrics, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43255
45412,Amrit Impex Pvt. Ltd.,India (IN),West Bengal,"Accessories, Babywear, Ladieswear, Fabrics, Men's wear, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45412
46866,Amsa Exports,India (IN),Tamil Nadu,"Accessories, Hygiene products, Garments, Home Textiles, Product category (other)",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/46866
44858,Anam Clothing Limited,Bangladesh (BD),Dhaka,"Babywear, Ladieswear, Children's wear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44858
45527,Amartara Impex,India (IN),Delhi,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45527
45871,Amjad Farooq Cotton industries,Pakistan (PK),NULL,Product category (other),NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45871
45867,Amko Exports,India (IN),Uttar Pradesh,"Accessories, Fabrics, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45867
43067,AMMAN ARUL SPINNERS,India (IN),Tamil Nadu,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43067
35002,Amman Garments,India (IN),Tamil Nadu,"Babywear, Ladieswear, Children's wear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/35002
44946,Amman Graphics,India (IN),Tamil Nadu,Accessories,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44946
42507,Amman Tex Printers,India (IN),Tamil Nadu,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/42507
44635,A.S.K.HOMETEX,India (IN),Tamil Nadu,"Accessories, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44635
45333,AARON DENIM LIMITED,Bangladesh (BD),Dhaka,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45333
35601,A.R.M. Texttiles,India (IN),Tamil Nadu,"Accessories, Fabrics, Garments, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/35601
43955,AN NHON GARMENT JOINT STOCK COMPANY,Viet Nam (VN),NULL,"Children's wear, Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43955
44062,Anadolu Circir Tekstil Tarım Sera. San. Ve Tic. A.S.,Türkiye (TR),NULL,Raw Fibres,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44062
43335,A.V. CREATIONS,India (IN),Gujarat,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43335
40043,A/S Vest-tex Mayflower,Denmark (DK),NULL,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40043
39058,a&n&a GmbH & Co. KG,Germany (DE),NULL,Home Textiles,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/39058
45892,"A1 Home Collections LLC, DBA DELARA",United States (US),Florida,"Home Textiles, Product category (other)",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45892
41674,Adishtam Ventures Private Limited,India (IN),Tamil Nadu,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/41674
31022,A.M. EXPO FAB,India (IN),Tamil Nadu,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/31022
40245,A.R Apparels (Pvt) Ltd.,Pakistan (PK),NULL,Garments,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40245
45403,A.S. Fashions,India (IN),Tamil Nadu,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45403
44043,AA CANVAS COMPANY,India (IN),Delhi,"Fabrics, Product category (other)",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44043
36346,Aadarsh Packaging Products,India (IN),West Bengal,Accessories,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/36346
45712,A.N TEXTILE MILLS,Pakistan (PK),NULL,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45712
40467,A.R. EXPORTS,India (IN),Uttar Pradesh,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40467
40399,AA Coarse Spun Limited,Bangladesh (BD),Dhaka,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40399
2486,AA Yarn Mills Ltd,Bangladesh (BD),Dhaka,"Raw Fibres, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/2486
44291,AAA Solutions,Pakistan (PK),NULL,"Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44291
35800,"AAC TÊXTEIS, S.A.",Portugal (PT),NULL,"Children's wear, Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/35800
38683,Aadhava Apparels,India (IN),Tamil Nadu,"Accessories, Babywear, Ladieswear, Children's wear, Men's wear, Home Textiles, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/38683
44379,Aadi Sustainability Solutions Pvt. Ltd.,India (IN),Haryana,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44379
44284,AALAYA DYEING MILLS,India (IN),Tamil Nadu,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44284
36280,Aan Clothings LLP,India (IN),Haryana,"Home Textiles, Product category (other)",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/36280
25764,AARTHI A1 HOME TRENDS (P) LTD,India (IN),Tamil Nadu,"Babywear, Fabrics, Yarns, Accessories, Home Textiles, Product category (other)",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/25764
